[INFO:2023-05-03 08:58:48,031] **FILLING BUFFER** | Episode: 114 | Timesteps Played: 169 | Mean Loss: 0.000 | Mean Reward: 0.355
[INFO:2023-05-03 08:58:48,285] **FILLING BUFFER** | Episode: 115 | Timesteps Played: 199 | Mean Loss: 0.000 | Mean Reward: 0.603
[INFO:2023-05-03 08:58:48,511] **FILLING BUFFER** | Episode: 116 | Timesteps Played: 177 | Mean Loss: 0.000 | Mean Reward: 0.678
[INFO:2023-05-03 08:58:48,719] **FILLING BUFFER** | Episode: 117 | Timesteps Played: 159 | Mean Loss: 0.000 | Mean Reward: 0.881
[INFO:2023-05-03 08:58:48,945] **FILLING BUFFER** | Episode: 118 | Timesteps Played: 187 | Mean Loss: 0.000 | Mean Reward: 0.428
[INFO:2023-05-03 08:58:49,203] **FILLING BUFFER** | Episode: 119 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.676
[INFO:2023-05-03 08:58:49,506] **FILLING BUFFER** | Episode: 120 | Timesteps Played: 181 | Mean Loss: 0.000 | Mean Reward: 0.331
[INFO:2023-05-03 08:58:49,729] **FILLING BUFFER** | Episode: 121 | Timesteps Played: 187 | Mean Loss: 0.000 | Mean Reward: 0.642
[INFO:2023-05-03 08:58:49,978] **FILLING BUFFER** | Episode: 122 | Timesteps Played: 193 | Mean Loss: 0.000 | Mean Reward: 0.725
[INFO:2023-05-03 08:58:50,258] **FILLING BUFFER** | Episode: 123 | Timesteps Played: 229 | Mean Loss: 0.000 | Mean Reward: 0.742
[INFO:2023-05-03 08:58:50,481] **FILLING BUFFER** | Episode: 124 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.546
[INFO:2023-05-03 08:58:50,693] **FILLING BUFFER** | Episode: 125 | Timesteps Played: 165 | Mean Loss: 0.000 | Mean Reward: 0.727
[INFO:2023-05-03 08:58:50,880] **FILLING BUFFER** | Episode: 126 | Timesteps Played: 151 | Mean Loss: 0.000 | Mean Reward: 0.596
[INFO:2023-05-03 08:58:51,144] **FILLING BUFFER** | Episode: 127 | Timesteps Played: 207 | Mean Loss: 0.000 | Mean Reward: 0.821
[INFO:2023-05-03 08:58:51,380] **FILLING BUFFER** | Episode: 128 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.681
[INFO:2023-05-03 08:58:51,615] **FILLING BUFFER** | Episode: 129 | Timesteps Played: 203 | Mean Loss: 0.000 | Mean Reward: 0.640
[INFO:2023-05-03 08:58:51,832] **FILLING BUFFER** | Episode: 130 | Timesteps Played: 161 | Mean Loss: 0.000 | Mean Reward: 0.745
